Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
-0.60665066,0.02849711,0.095714946,0.64406358,0.106770003,-0.991019075,-0.686712882,-0.238636359
-0.60665066,2.76722458,-0.991008786,0.81417553,0.106770003,0.185764942,2.153936494,2.761363641
0.09029638,1.79815642,-0.89648356,0.22034546,0.106770003,1.438992062,-0.20462297,-0.238636359
-0.21988471,-0.16241654,-0.849220947,0.0502335,1.20373435,-0.463847498,-0.443745942,-0.238636359
-0.60665066,-0.16241654,-0.89648356,0.22034546,0.106770003,-0.592517536,-0.565229412,-0.238636359
-0.60665066,1.79067754,0.765585575,-0.11987845,-0.513991167,0.006518545,0.611790951,-0.238636359
0.55364719,-0.16241654,-0.621418297,0.47395162,0.106770003,-0.356383357,0.733274421,-0.238636359
-0.60665066,1.79067754,-0.991008786,0.81417553,0.106770003,0.436881495,0.277466942,-0.238636359
-0.60665066,-0.16241654,-0.943746173,0.81417553,-2.707919862,-1.16476702,0.903033179,2.761363641
-0.60665066,-0.16241654,0.001189719,0.22034546,0.106770003,-0.113299339,0.854757891,-0.238636359
-0.60665066,0.21941077,-0.273875543,0.30383967,0.106770003,0.331944095,0.685673903,-0.238636359
2.77807792,-0.54907715,2.080111956,0.0502335,1.224283248,1.70816698,-0.686712882,-0.238636359
-1.16275835,0.22424406,-0.89648356,0.22034546,0.106770003,-0.79522066,-0.63012663,0.761363641
4.49448346,-3.09205766,-0.055494123,-0.79720274,3.231840452,2.45654867,-2.275784174,-0.238636359
-0.93044267,-0.16241654,0.095714946,-0.79720274,-1.404035124,-1.089264181,-0.686712882,-0.238636359
-0.60665066,-0.16241654,-0.89648356,-0.54359657,0.106770003,-0.793847611,-0.322262472,-0.238636359
0.42769929,-0.3533302,-0.281158776,-0.11987845,-1.404035124,-0.499368333,-0.0831395,-0.238636359
1.27909661,-0.16241654,0.197523405,-1.13742665,0.810442469,0.091108119,-0.973436373,-0.238636359
0.10390729,-0.16241654,0.095714946,0.47395162,0.106770003,0.412563972,-0.565229412,-0.238636359
-0.60665066,0.02849711,-0.849220947,-0.11987845,0.106770003,-0.739546547,-0.322262472,-0.238636359
-0.60665066,2.38056398,0.011838131,-1.22092086,0.106770003,-0.742473179,1.632557029,0.761363641
-0.1420193,2.37573068,-0.263227131,0.0502335,0.106770003,0.818637754,-0.0831395,-0.238636359
-0.60665066,0.21941077,-0.574155684,-0.79720274,-0.493442268,-0.570486735,-0.565229412,-0.238636359
-0.60665066,-0.16241654,-0.357752357,0.81417553,0.706982274,0.033540967,0.325067461,-0.238636359
-0.37433498,-0.35816349,-0.32842139,0.0502335,1.307194545,-0.352182427,0.446550931,-0.238636359
-0.60665066,-0.16241654,-0.574155684,0.30383967,2.010867011,-0.534807613,-0.26567622,0.761363641
-0.60665066,-0.16241654,0.11776268,0.39045741,0.106770003,-0.377575067,1.554830109,0.761363641
-0.00246049,0.22424406,-0.89648356,0.22034546,0.106770003,-0.982803107,0.203583991,-0.238636359
0.10390729,-0.94321663,0.48323708,0.22034546,-0.100150387,-0.752621153,-0.322262472,-0.238636359
-0.60665066,2.76722458,-0.991008786,0.64406358,0.106770003,1.649166991,2.097350242,1.761363641
1.5250232,-0.16241654,-0.75469572,0.39045741,-2.707919862,0.034911129,0.085944488,-0.238636359
-0.60665066,-0.16241654,-0.621418297,0.39045741,-1.09365454,-0.167553476,-1.047319325,-0.238636359
5.05059115,-3.09205766,0.11776268,0.0502335,2.217787401,0.421632592,-1.867577213,-0.238636359
-0.60665066,-0.16241654,1.98558673,-0.96731469,0.106770003,-0.070469181,-0.686712882,-0.238636359
-0.21988471,-0.16241654,1.757784081,-0.37348462,-0.700362658,-0.127212916,-1.094919843,-0.238636359
2.22197024,-2.11551062,0.78763331,-0.54359657,0.913902664,0.923991544,-2.467306628,-0.238636359
-0.28285866,-0.3533302,0.190240172,-1.22092086,-0.203610582,0.072055412,-1.334042815,-0.238636359
